scheme,source_code,source_label,analysis_code,analysis_label,mapping_kind,n_2010_in_group,n_2018_in_group
2018,6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",one_to_one,1,1
2018,6260,Construction Laborers,6260,Construction Laborers,one_to_one,1,1
2018,6305,Construction Equipment Operators,6305,Construction Equipment Operators,merged,3,1
2018,6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",one_to_one,1,1
2018,6355,Electricians,6355,Electricians,one_to_one,1,1
2018,6360,Glaziers,6360,Glaziers,one_to_one,1,1
2018,6400,Insulation Workers,6400,Insulation Workers,one_to_one,1,1
2018,6410,Painters and Paperhangers,6410,Painters and Paperhangers,merged,3,1
2018,6441,Pipelayers,6441,Pipelayers,new_2018_only,0,1
2018,6442,"Plumbers, Pipefitters, and Steamfitters",6442,"Plumbers, Pipefitters, and Steamfitters",new_2018_only,0,1
2018,6460,Plasterers and Stucco Masons,6460,Plasterers and Stucco Masons,one_to_one,1,1
2018,6500,Reinforcing Iron and Rebar Workers,6500,Reinforcing Iron and Rebar Workers,one_to_one,1,1
2018,6515,Roofers,6515,Roofers,one_to_one,1,1
2018,6520,Sheet Metal Workers,6520,Sheet Metal Workers,one_to_one,1,1
2018,6530,Structural Iron and Steel Workers,6530,Structural Iron and Steel Workers,one_to_one,1,1
2018,6540,Solar Photovoltaic Installers,6540,Solar Photovoltaic Installers,one_to_one,1,1
2018,6600,"Helpers, Construction Trades",6600,"Helpers, Construction Trades",one_to_one,1,1
2018,6660,Construction and Building Inspectors,6660,Construction and Building Inspectors,one_to_one,1,1
2018,6700,Elevator and escalator installers and repairers,6700,Elevator and escalator installers and repairers,one_to_one,1,1
2018,6710,Fence Erectors,6710,Fence Erectors,one_to_one,1,1
2018,6720,Hazardous Materials Removal Workers,6720,Hazardous Materials Removal Workers,one_to_one,1,1
2018,6730,Highway Maintenance Workers,6730,Highway Maintenance Workers,one_to_one,1,1
2018,6740,Rail-Track Laying and Maintenance Equipment Operators,6740,Rail-Track Laying and Maintenance Equipment Operators,one_to_one,1,1
2018,6750,Septic Tank Servicers and Sewer Pipe Cleaners,6750,Septic Tank Servicers and Sewer Pipe Cleaners,one_to_one,1,1
2018,6765,Miscellaneous Construction and Related Workers,6765,Miscellaneous Construction and Related Workers,one_to_one,1,1
2018,6800,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",6800,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",one_to_one,1,1
2018,6821,"Excavating and Loading Machine and Dragline Operators, Surface Mining",6821,"Excavating and Loading Machine and Dragline Operators, Surface Mining",new_2018_only,0,1
2018,6825,"Earth Drillers, Except Oil and Gas",6825,"Earth Drillers, Except Oil and Gas",one_to_one,1,1
2018,6835,"Explosives Workers, Ordnance Handling Experts, and Blasters",6835,"Explosives Workers, Ordnance Handling Experts, and Blasters",one_to_one,1,1
2018,6850,Underground Mining Machine Operators,6850,Underground Mining Machine Operators,merged,2,1
2018,6920,"Roustabouts, Oil and Gas",6920,"Roustabouts, Oil and Gas",one_to_one,1,1
2018,6950,Other Extraction Workers,6950,Other Extraction Workers,one_to_one,1,1
2018,7000,"First-Line Supervisors of Mechanics, Installers, and Repairers",7000,"First-Line Supervisors of Mechanics, Installers, and Repairers",one_to_one,1,1
2018,7010,"Computer, Automated Teller, and Office Machine Repairers",7010,"Computer, Automated Teller, and Office Machine Repairers",one_to_one,1,1
2018,7020,Radio and Telecommunications Equipment Installers and Repairers,7020,Radio and Telecommunications Equipment Installers and Repairers,one_to_one,1,1
2018,7030,Avionics Technicians,7030,Avionics Technicians,one_to_one,1,1
2018,7040,"Electric Motor, Power Tool, and Related Repairers",7040,"Electric Motor, Power Tool, and Related Repairers",one_to_one,1,1
2018,7050,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7050,"Electrical and Electronics Installers and Repairers, Transportation Equipment",one_to_one,1,1
2018,7100,"Electrical and Electronics Repairers, Industrial and Utility",7100,"Electrical and Electronics Repairers, Industrial and Utility",one_to_one,1,1
2018,7110,"Electronic Equipment Installers and Repairers, Motor Vehicles",7110,"Electronic Equipment Installers and Repairers, Motor Vehicles",one_to_one,1,1
2018,7120,Audiovisual equipment installers and repairers,7120,Audiovisual equipment installers and repairers,one_to_one,1,1
2018,7130,Security and Fire Alarm Systems Installers,7130,Security and Fire Alarm Systems Installers,one_to_one,1,1
2018,7140,Aircraft Mechanics and Service Technicians,7140,Aircraft Mechanics and Service Technicians,one_to_one,1,1
2018,7150,Automotive Body and Related Repairers,7150,Automotive Body and Related Repairers,one_to_one,1,1
2018,7160,Automotive Glass Installers and Repairers,7160,Automotive Glass Installers and Repairers,one_to_one,1,1
2018,7200,Automotive Service Technicians and Mechanics,7200,Automotive Service Technicians and Mechanics,one_to_one,1,1
2018,7210,Bus and Truck Mechanics and Diesel Engine Specialists,7210,Bus and Truck Mechanics and Diesel Engine Specialists,one_to_one,1,1
2018,7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,one_to_one,1,1
2018,7240,Small Engine Mechanics,7240,Small Engine Mechanics,one_to_one,1,1
2018,7260,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",7260,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",one_to_one,1,1
2018,7300,Control and Valve Installers and Repairers,7300,Control and Valve Installers and Repairers,one_to_one,1,1
2018,7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",one_to_one,1,1
2018,7320,Home Appliance Repairers,7320,Home Appliance Repairers,one_to_one,1,1
2018,7330,Industrial and Refractory Machinery Mechanics,7330,Industrial and Refractory Machinery Mechanics,one_to_one,1,1
2018,7340,"Maintenance and Repair Workers, General",7340,"Maintenance and Repair Workers, General",one_to_one,1,1
2018,7350,"Maintenance Workers, Machinery",7350,"Maintenance Workers, Machinery",one_to_one,1,1
2018,7360,Millwrights,7360,Millwrights,one_to_one,1,1
2018,7410,Electrical Power-Line Installers and Repairers,7410,Electrical Power-Line Installers and Repairers,one_to_one,1,1
2018,7420,Telecommunications Line Installers and Repairers,7420,Telecommunications Line Installers and Repairers,one_to_one,1,1
2018,7430,Precision Instrument and Equipment Repairers,7430,Precision Instrument and Equipment Repairers,one_to_one,1,1
2018,7440,Wind Turbine Service Technicians,7440,Wind Turbine Service Technicians,one_to_one,1,1
2018,7510,"Coin, Vending, and Amusement Machine Servicers and Repairers",7510,"Coin, Vending, and Amusement Machine Servicers and Repairers",one_to_one,1,1
2018,7520,Commercial Divers,7520,Commercial Divers,one_to_one,1,1
2018,7540,Locksmiths and Safe Repairers,7540,Locksmiths and Safe Repairers,one_to_one,1,1
2018,7550,Manufactured Building and Mobile Home Installers,7550,Manufactured Building and Mobile Home Installers,one_to_one,1,1
2018,7560,Riggers,7560,Riggers,one_to_one,1,1
2018,7610,"Helpers--Installation, Maintenance, and Repair Workers",7610,"Helpers--Installation, Maintenance, and Repair Workers",one_to_one,1,1
2018,7640,"Other Installation, Maintenance, and Repair Workers",7640,"Other Installation, Maintenance, and Repair Workers",one_to_one,1,1
2018,7700,First-Line Supervisors of Production and Operating Workers,7700,First-Line Supervisors of Production and Operating Workers,one_to_one,1,1
2018,7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",one_to_one,1,1
2018,7720,"Electrical, Electronics, and Electromechanical Assemblers",7720,"Electrical, Electronics, and Electromechanical Assemblers",one_to_one,1,1
2018,7730,Engine and Other Machine Assemblers,7730,Engine and Other Machine Assemblers,one_to_one,1,1
2018,7740,Structural Metal Fabricators and Fitters,7740,Structural Metal Fabricators and Fitters,one_to_one,1,1
2018,7750,Other Assemblers and Fabricators,7750,Other Assemblers and Fabricators,one_to_one,1,1
2018,7800,Bakers,7800,Bakers,one_to_one,1,1
2018,7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers",7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers",one_to_one,1,1
2018,7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",one_to_one,1,1
2018,7840,Food Batchmakers,7840,Food Batchmakers,one_to_one,1,1
2018,7850,Food Cooking Machine Operators and Tenders,7850,Food Cooking Machine Operators and Tenders,one_to_one,1,1
2018,7855,"Food Processing Workers, All Other",7855,"Food Processing Workers, All Other",one_to_one,1,1
2018,7905,Computer numerically controlled tool operators and programmers,7905,Computer numerically controlled tool operators and programmers,one_to_one,1,1
2018,7925,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",7925,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",merged,3,1
2018,7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",one_to_one,1,1
2018,8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",one_to_one,1,1
2018,8025,"Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8025,"Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic",merged,3,1
2018,8030,Machinists,8030,Machinists,one_to_one,1,1
2018,8040,"Metal Furnace Operators, Tenders, Pourers, and Casters",8040,"Metal Furnace Operators, Tenders, Pourers, and Casters",one_to_one,1,1
2018,8060,"Model Makers and Patternmakers, Metal and Plastic",8060,"Model Makers and Patternmakers, Metal and Plastic",one_to_one,1,1
2018,8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",one_to_one,1,1
2018,8130,Tool and Die Makers,8130,Tool and Die Makers,one_to_one,1,1
2018,8140,"Welding, Soldering, and Brazing Workers",8140,"Welding, Soldering, and Brazing Workers",one_to_one,1,1
2018,8225,Other Metal Workers and Plastic Workers,8225,Other Metal Workers and Plastic Workers,merged,6,1
2018,8250,Prepress Technicians and Workers,8250,Prepress Technicians and Workers,one_to_one,1,1
2018,8255,Printing Press Operators,8255,Printing Press Operators,one_to_one,1,1
2018,8256,Print Binding and Finishing Workers,8256,Print Binding and Finishing Workers,one_to_one,1,1
2018,8300,Laundry and Dry-Cleaning Workers,8300,Laundry and Dry-Cleaning Workers,one_to_one,1,1
2018,8310,"Pressers, Textile, Garment, and Related Materials",8310,"Pressers, Textile, Garment, and Related Materials",one_to_one,1,1
2018,8320,Sewing Machine Operators,8320,Sewing Machine Operators,one_to_one,1,1
2018,8335,Shoe and Leather Workers,8335,Shoe and Leather Workers,merged,2,1
2018,8350,"Tailors, Dressmakers, and Sewers",8350,"Tailors, Dressmakers, and Sewers",one_to_one,1,1
2018,8365,"Textile Machine Setters, Operators, and Tenders",8365,"Textile Machine Setters, Operators, and Tenders",merged,4,1
2018,8450,Upholsterers,8450,Upholsterers,one_to_one,1,1
2018,8465,"Other Textile, Apparel, and Furnishings Workers",8465,"Other Textile, Apparel, and Furnishings Workers",merged,3,1
2018,8500,Cabinetmakers and Bench Carpenters,8500,Cabinetmakers and Bench Carpenters,one_to_one,1,1
2018,8510,Furniture Finishers,8510,Furniture Finishers,one_to_one,1,1
2018,8530,"Sawing Machine Setters, Operators, and Tenders, Wood",8530,"Sawing Machine Setters, Operators, and Tenders, Wood",one_to_one,1,1
2018,8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",one_to_one,1,1
2018,8555,Other Woodworkers,8555,Other Woodworkers,merged,2,1
2018,8600,"Power Plant Operators, Distributors, and Dispatchers",8600,"Power Plant Operators, Distributors, and Dispatchers",one_to_one,1,1
2018,8610,Stationary Engineers and Boiler Operators,8610,Stationary Engineers and Boiler Operators,one_to_one,1,1
2018,8620,Water and Wastewater Treatment Plant and System Operators,8620,Water and Wastewater Treatment Plant and System Operators,one_to_one,1,1
2018,8630,Miscellaneous Plant and System Operators,8630,Miscellaneous Plant and System Operators,one_to_one,1,1
2018,8640,"Chemical Processing Machine Setters, Operators, and Tenders",8640,"Chemical Processing Machine Setters, Operators, and Tenders",one_to_one,1,1
2018,8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",one_to_one,1,1
2018,8710,Cutting Workers,8710,Cutting Workers,one_to_one,1,1
2018,8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",one_to_one,1,1
2018,8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",one_to_one,1,1
2018,8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",one_to_one,1,1
2018,8750,Jewelers and Precious Stone and Metal Workers,8750,Jewelers and Precious Stone and Metal Workers,one_to_one,1,1
2018,8760,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,8760,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,one_to_one,1,1
2018,8800,Packaging and Filling Machine Operators and Tenders,8800,Packaging and Filling Machine Operators and Tenders,one_to_one,1,1
2018,8810,Painting Workers,8810,Painting Workers,one_to_one,1,1
